EMP_NO,EMP_NAME,BAND,NB_FROM,AGEING_BUCKET,ONSITE_OFFSHORE,Location,EXPERIENCE,ROLE_NAME,COUNTRY,Skills_from_iAspire,CERTIFIED_SKILLS,TRAINED_SKILLS,RECENT_SKILL,LANGUAGE_SKILL,ROLE_CLUSTER_NAME
3212,Employee3212,GROUP B2,01-04-2026,16-30 DAYS,OFFSHORE,GREATER NOIDA,6Years 7Months,Developer L3,INDIA,"Accent Neutralization(L5), Agile Methodologies(L4), Art(L5), Business Communication(L5), Coding Standards(L3), Communication(L5), Effective Communication(L4), Negotiation(L4), Presentation Skills(L4), Professionalism(L5), Pronunciation(L5), Requirements Analysis(L5), ServiceNow - GrC(L3), ServiceNow - HR Service Management(L3), ServiceNow - IT Service Management(L5), ServiceNow - Platform Core(L4), ServiceNow CAD(L5), ServiceNow Certified Application Developer(L4), ServiceNow Certified Implementation Specialist - Human Resources(L4), ServiceNow Certified Implementation Specialist - IT Service Management(L4), ServiceNow CSM(L3), ServiceNow Custom App Development(L4), ServiceNow Flow Designer(L4), ServiceNow Mobile App(L4), ServiceNow-Development(L5), TCA Ext-ServiceNow Core-AEC, TCA Ext-ServiceNow CSM, TCA Ext-ServiceNow Platcore-Wpmp, TCA Ext-ServiceNow-CAD, TCA Ext-ServiceNow-HR, Troubleshooting(L5), Voice and Accent Coaching(L3)","ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L2),GITHUB COPILOT(L3),INFOR BAAN - FINANCE(L1),SERVICENOW - HR SERVICE MANAGEMENT(L2),SERVICENOW - PLATFORM CORE(L3),SERVICENOW CERTIFIED APPLICATION DEVELOPER(L2),SERVICENOW CERTIFIED IMPLEMENTATION SPECIALIST - HUMAN RESOURCES(L1),SERVICENOW CERTIFIED IMPLEMENTATION SPECIALIST - IT SERVICE MANAGEMENT(L2),SERVICENOW CORE(L3),SERVICENOW CUSTOM APP DEVELOPMENT(L2)","AI Consulting Responsible AI(L1),Effective Communication(L1),English Language(L1),Generative AI(L1),Github Copilot(L1),Github Copilot(L2),Github Copilot(L3),Github Copilot(L3),Infor BAAN - Finance(L1),M365 Copilot(L1),NA(NA),NA(NA),NA(NA),NA(NA),ServiceNow - Platform Core(L3),ServiceNow Core(L3),Servicenow - HR Service Management(L2),Servicenow Custom App Development(L2),Voice and Accent Coaching(L2)",,,DEVELOPER L3
3213,Employee3213,GROUP B1,01-01-2026,31-60 DAYS,OFFSHORE,BENGALURU,3Years 3Months,Developer L2,INDIA,"CSS3, Dataiku(L2), HTML 5(L1), Java-J2ee(L1), Microsoft Power Bi Data Analyst Associate(L2), Microsoft Power BI(L2), MS SQL(L1), Spring Boot(L1), SQL Database(L2), SQL(L2)","DATAIKU(L1),ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),GENERATIVE AI(L2),GENERATIVE AI(L3),GITHUB COPILOT(L2),INFORMATICA MDM(L1),MICROSOFT POWER BI DATA ANALYST ASSOCIATE(L2),ORACLE SQL(L1)","AI Dataiku(L1),Banking Domain(L3),CLOUD AWS ADMIN(L1),CORE JAVA(L1),CORE JAVA(L1),DATABRICKS - DATA ENGINEERING(L2),Database Performance Tuning(L1),Dataiku(L1),Effective Communication(L1),English Language(L1),English Language(L1),Generative AI(L0),Generative AI(L1),Generative AI(L2),Generative AI(L3),Github Copilot(L2),HIBERNATE(L1),Informatica MDM(L1),Informatica MDM(L1),JAVA SERVLETS(L1),JAVA-J2EE(L1),JAVA/J2EE(L1),JSP - JAVA SERVER PAGES(L1),JSP - JAVA SERVER PAGES(L1),Lean(L1),MICROSOFT POWER BI(L2),Microsoft BI(L1),Microsoft Power BI(L1),NA(NA),NA(NA),Oracle Database Admin(L1),Oracle SQL(L1),Oracle SQL(L1),Oracle SQL(L2),PL-SQL(L1),Power BI Visualization on cloud(L2),Power BI(L1),SPRING BOOT(L1),SPRING(L1),Self-confidence(L1),Strategy MicroStrategy(L1),Voice and Accent Coaching(L2),WEGA for AI(L0),WEGA for AI(L0),WEGA for AI(L2)",,,DEVELOPER DATA VISUALIZATION - L2
3214,Employee3214,GROUP B2,01-03-2026,31-60 DAYS,OFFSHORE,CHENNAI,13Years 6Months,Incident Manager L1,INDIA,"24x7 Bridge Calls(L5), 24x7 Monitoring(L5), Access Control(L4), Active Directory(L3), Advertising(L4), Assessments(L5), Asset Management(L5), Auditing(L5), Backup and Recovery, Billing, Business Analysis(L3), Business Development(L5), Change Request Management(L3), Change Request Skill Enhanced From Wilearn(L3), Clarity(L5), Closing(L4), Cloud Computing(L4), Cloud Infrastructure Services(L5), Cloud Infrastructure(L3), Cloud Storage Software(L4), Cloud-Microsoft Azure(L2), Collaboration Management(L4), Collaboration(L5), Communication(L4), Compliance(L5), Consolidation, Contract Management, Coordination(L4), CRM(L3), Customer Communication(L3), Customer Relationship Management(L5), Customer Satisfaction(L5), Customer Service(L5), Customer SharePoint Maintenance(L5), Customer Support(L3), Customisation(L5), Customization(L5), Data Retention(L3), Deliverables - Internal Stakehoders(L5), Dictation(L4), Digital Media Software, Driving Process(L4), Dynatrace Monitoring(L4), Engagement Skills(L5), Escalation Metrix(L5), Generative AI(L3), Health and Safety(L5), Healthcare(L5), Identity and Access Management(L4), Incident Communication(L4), Incident Management(L5), Incident Monitoring(L5), Induction Technology(L2), Information sensitivity(L3), Infrastructure Services(L4), Integration(L4), Invoice Generation(L5), IT Asset Management(L5), IT Service Management(L5), ITAM(L4), ITIL(L5), Knowledge Management(L4), Lead Generation(L4), Leadership Mentoring(L4), Lean(L4), Leave Approval(L5), Legal, Liaison, Maintenance(L4), Major Incident Management Incident Bridge & Escalations Sla Management Monitoring Tools (Dynatrace, Mulesoft, Oms) Production Support Stakeholder Coordination Team Leadership Process Improvement IT As(L5), Management Reporting(L5), Management(L5), Managing Change(L3), Marketing Campaigning(L5), Marketing Strategy(L4), Marketing(L5), Medical Data Acquisition and Storage(L2), Medical Records(L4), Microsoft Access(L4), Microsoft Azure(L5), Mindset Training & Mentoring Team Members Taking Ownership & Responsibility(L4), MIS (Ops)(L5), MIS(L4), Monitoring 24x7 Alert Tool(L5), Monthly Reporting(L5), MS Excel (Vlookup, Pivot, Formatting)(L4), MS Powerpoint – Presentation Creation(L4), MuleSoft Monitoring(L4), Multitasking Quick Problem Understanding(L4), Network Administration(L4), Networking(L5), ODC Reconciliation(L5), Offboarding Process(L4), Offshore Development(L4), Onboarding Process(L4), OOPS Ramp(L5), Operations(L5), Opsramp(L4), Performance Analysis(L4), Performance Monitoring(L4), Physics(L3), PMO Analyst(L4), PMO(L5), Point Clouds(L4), Pressure Handling(L4), Problem Solving(L4), Process Improvement(L4), Production Suport(L5), Program Management(L3), Project Management(L5), Project Reviews(L4), Promotional Campaigns(L4), Reporting and Analysis(L5), Reporting(L5), Resource Management(L5), Roaster Validation(L4), RSA Token(L5), RSA Tokens(L5), Safety Measures, Sales Management(L3), Sales(L5), SDLC(L4), Security Policies(L3), Security Protocols(L3), Service Now(L4), ServiceNow - HR Service Management(L5), SharePoint, Shift Roaster(L5), Shine Assessments(L5), Sla Metrics(L5), SLA Monitoring(L4), Snow(L5), Social Media Marketing, Social Media(L5), Stake Holder Communication(L3), Standardization, Sterling OMS(L4), Storage, Storage as a Service(L5), Strategic Planning, Team Grooming(L3), Team Guidance & Support Decision Making During Critical Incidents(L4), Team Leadership(L5), Technical Support(L5), Technology (Alight It)(L5), Time Management(L4), Timesheet Software(L5), Training(L4), Troubleshooting(L4), Upkeep(L4), Utilization Management(L4), Vendor Management(L4), Vmware(L3), Windows 7(L4), Windows(L3)","GCP AI ML(L1),GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L2),GITHUB COPILOT(L3)","Azure Cloud Data Platform Engineering(L1),CLOUD-MICROSOFT AZURE(L1),CLOUD-MICROSOFT AZURE(L1),GCP AI ML MLOps(L1),Generative AI(L0),Generative AI(L1),Github Copilot(L1),Github Copilot(L2),Github Copilot(L3),Github Copilot(L3),ITIL INCIDENT MGMT(L2),ITIL Incident Mgmt(L2),Infra SI Project Management(L2),Lean(L1),Managing Change(L1),PMO(L1),PMO(L1),Project Management(L3),WEGA for AI(L0)",,,INCIDENT MANAGER ITIL - INCIDENT REQUEST MANAGEMENT - L1
3215,Employee3215,GROUP B2,28-01-2026,31-60 DAYS,OFFSHORE,BENGALURU,8Years 4Months,Developer L3,INDIA,"Agile Frameworks(L5), Agile Methodologies(L5), Agile Scrum Methodology(L5), Team Collaboration(L5)","GENERATIVE AI(L1),GITHUB COPILOT(L3)","Generative AI(L1),Github Copilot(L3),Github Copilot(L3),NA(NA),NA(NA)",,,DEVELOPER JAVA FULLSTACK - L3
3216,Employee3216,GROUP C1,16-04-2026,8-15 DAYS,ONSITE,DALLAS,20Years 0Months,Domain Consultant L3,USA,"Agile Scrum(L4), Analysis(L3), Control-M, Crystal Reports(L3), Data Analysis(L3), Data Visualization(L4), Data Warehousing(L4), Generative AI(L1), Jira Service Desk(L2), Jira(L3), Management(L3), MetricStream - GrC(L3), Microsoft Azure(L2), Microsoft Power BI(L3), Microsoft SQL Server(L2), Nexla(L2), Power Bi Visualization on Cloud(L4), Process Improvement(L3), Project Management(L3), Requirements Analysis(L3), SAP Business Objects(L5), Scrum Methodology(L3), Service Now Ticket Management & Support(L3), Six Sigma(L3), Snowflake(L3), SQL(L3), Stitch, Tableau Desktop(L4), Tableau Server(L2), Tableau(L5), Talend(L2), Training(L3), Turbo Risk(L3)","GENERATIVE AI(L1),SCALED AGILE FRAMEWORK AGILIST-SA(L2),TABLEAU DESKTOP CERTIFIED ASSOCIATE(L1)","Generative AI(L0),Generative AI(L1),Lean(L1),Microsoft Power BI(L1),NA(NA),WEGA for AI(L0),WEGA for AI(L2)",,English,DOMAIN CONSULTANT SECURITIES - REFERENCE DATA MANAGEMENT - L3
3217,Employee3217,GROUP B2,21-02-2026,31-60 DAYS,OFFSHORE,HYDERABAD,7Years 6Months,DevOps Engineer L3,INDIA,"Agile Methodologies(L4), Amazon Web Services - Aws(L2), Amazon Web Services (AWS)(L3), Amazon Web Services(L3), Ansible(L3), Apache Maven(L3), App-Cloud-Amazon-Aws(L2), Application Server(L3), Atlassian Confluence(L3), Atlession(L4), Aws Certified Cloud Practitioner(L4), Aws(L3), Backeduck(L3), Bitbucket(L4), BlackDuck(L4), Build Deployment(L3), Change Management(L2), Cloud Aws Admin(L2), Cloud Services(L3), Communication(L3), Confidence(L4), Configuration Management Tools(L3), Configuration Management(L3), Containerorchestration Scalingkubernetes(L2), Continuous Delivery(L4), Continuous Deployment(L4), Continuous Integration(L3), Control Center(L3), CyberArk(L2), Decision Making(L3), Deployments(L3), DevOps-BitBucket(L3), DevOps-Nexus(L4), DevTools(L2), Docker Hub(L3), Docker(L3), Dynatrace Monitoring(L3), Dynatrace(L3), Effective Communication(L3), Elasticsearch(L2), Generative AI(L2), Git(L3), GitHub(L4), GitLab(L4), Git-Scm - Version Control System(L4), Health Check(L4), Healthcare Technology(L2), Healthcare(L3), Infermatica(L3), Integration(L3), ITIL(L3), Jenkins Pipelines(L3), Jenkins(L3), JFrog Artifactory(L3), JFrog(L3), Jira(L4), Kafka Services(L3), Kubernetes(L2), Language Skills(L2), Linux Administration(L3), Linux(L4), Managed Services(L3), Microservices(L3), Microsoft Azure(L2), Microsoft SQL Server(L3), Middleware(L2), MySQL(L3), Octops(L3), Octopus Deploy(L3), Octopus(L3), OpenShift Container Platform(L3), OpenShift(L3), Orchestration(L4), Perforce(L4), Planning(L2), Presentation Skills(L4), Project Implementation(L3), Project Requirements Management(L2), Redhat OpenShift(L3), Remidyforce(L2), SDLC(L3), ServiceNow - IT Service Management(L4), ServiceNow(L3), Software Development(L3), SQL Database(L3), SQL(L3), Support(L4), Team Communication(L3), Technology (Alight It)(L2), Technology Integration(L3), Terraform(L2), Tool Management(L2), Troubleshooting(L3), Versioning(L4), Vmware(L2), Windows Server(L3), YAML(L4)","AWS CERTIFIED CLOUD PRACTITIONER(L2),AWS CLOUDFORMATION(L2),CLOUD AWS ADMIN(L2),GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L3)","AMAZON WEB SERVICES - AWS(L2),AWS CloudFormation(L2),Amazon Web Services - AWS(L1),Cloud AWS Admin(L2),DevOps(),Effective Communication(L1),Generative AI(L0),Generative AI(L1),Github Copilot(L1),Github Copilot(L3),LINUX ADMIN(L3),NA(NA),NA(NA),NA(NA),NA(NA),NA(NA),Self-confidence(L1),Spring Boot(L2),WEGA for AI(L0),WEGA for AI(L0),Wipro Values(L2)","CONTAINERORCHESTRATION SCALINGKUBERNETES,DEVOPS-BITBUCKET,DEVOPS-NEXUS,DOCKER,ENTERPRISE KUBERNETES,GIT-SCM - VERSION CONTROL SYSTEM,HBASE,JENKINS,KAFKA SERVICES,OPENSHIFT","English,Telugu",DEVOPS ENGINEER AWS DEVOPS - L3
3218,Employee3218,GROUP B1,01-04-2026,16-30 DAYS,OFFSHORE,HYDERABAD,1Years 7Months,Developer L1,INDIA,"Data Bricks(L3), HTML/CSS(L3), Palantir(L3), PySpark(L3), Python(L3)","ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L2),LINUX ADMIN(L1),MS AZURE AI ML(L1)","DATABRICKS - DATA ENGINEERING(L2),Effective Communication(L1),Generative AI(L1),Github Copilot(L1),Github Copilot(L2),Linux Admin(L1),M365 Copilot(L1),MS Azure AI ML(L1),NA(NA),NA(NA),NA(NA),NA(NA),Oracle SQL(),Oracle SQL(L1),Voice and Accent Coaching(L2),WEGA for AI(L0)",,,DEVELOPER ECM OPENTEXT - L1
3219,Employee3219,TEAMRBOW,30-03-2026,16-30 DAYS,OFFSHORE,CHENNAI,0Years 0Months,Developer L1,INDIA,"Java(L3), Object-Oriented Programming(L2), React JS, SQL(L3), Testing(L2), Tricentis Tosca(L4)",,"WEGA for AI(L0),WEGA for AI(L2),WEGA for AI(L3)",,,
3220,Employee3220,GROUP B3,11-04-2026,8-15 DAYS,OFFSHORE,BENGALURU,14Years 8Months,Lead Administrator L1,INDIA,"Action Planning(L5), Active Directory(L4), Ansible(L5), Asset Management(L5), Azure Vmware Service(L5), Backup and Recovery(L5), Business Development(L5), Causal Analysis, Client Delivery(L5), Client Requirements(L5), Client Security, Cloning(L5), Cloud Services(L5), Computer Hardware(L5), Computer Operations(L5), Cross Training(L5), Customer Satisfaction(L5), Data Migration(L5), Data Replication(L5), Data Services(L5), Deployments(L5), Disaster Recovery(L5), Engineering(L5), Escalation Management(L5), Firewalls(L5), Hardware Troubleshooting(L5), High Availability(L5), Hyper-V(L5), Implementation(L5), Infrastructure(L5), ISO 9000(L5), Legacy Systems(L5), Management(L5), Microsoft Access(L5), Microsoft Active Directory(L3), Microsoft Azure Administrator Certification Transition(L5), Microsoft Azure(L4), Microsoft Windows Administration(L4), Microsoft Windows(L5), Nagios(L5), Operating Systems(L4), Planning(L5), Platform as a Service(L5), Proxy(L5), Recertification(L5), Reporting(L5), Security Controls(L5), Security Policies(L4), Software Installation(L5), Solar Software(L5), Storage(L5), Support Management(L5), System Backup(L5), System Center Virtual Machine Manager(L4), System Center(L5), System Management(L4), System Software(L5), Tape Libraries(L5), Team Management(L5), Technical Proficiency(L5), Technical Support(L5), Vm(L5), VMware ESXi(L5), Vmware Server Admin(L5), Vmware Server Virtualization -vSphere(L5), VMware Software(L3), Zabbix(L5)","CLOUD AZURE ADMIN(L2),GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L2),GITHUB COPILOT(L3),MICROSOFT AZURE ADMINISTRATOR CERTIFICATION TRANSITION(L2),MS AZURE AI ML(L1)","Cloud Azure Admin(L2),Generative AI(L0),Generative AI(L1),Github Copilot(L1),Github Copilot(L2),Github Copilot(L3),Github Copilot(L3),Lean(L1),MS Azure AI ML(L1),NA(NA),NA(NA),WEGA for AI(L0)",,,LEAD ADMINISTRATOR WINDOWS ADMIN - L1
3221,Employee3221,GROUP B3,31-03-2026,16-30 DAYS,OFFSHORE,PUNE,11Years 1Months,Technical Consultant L1,INDIA,"ABAP on Hana CDS(L4), ABAP Report(L5), ABAP RESTful Programming(L3), SAP ABAP Dictionary(L5), SAP ABAP Proxies(L4), SAP Certified Development Specialist - ABAP for SAP Hana 2.0(L3), SAP Hana Migration(L3), SAP IDOC(L4), SAP Interfaces(L4), SAP(L4)","ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L2),SAP ABAP(L3),SAP CERTIFIED DEVELOPMENT SPECIALIST - ABAP FOR SAP HANA 2.0(L3)","English Language(L1),Generative AI(L1),Github Copilot(L1),Github Copilot(L2),M365 Copilot(L1),NA(NA),NA(NA),NA(NA),NA(NA),SAP ABAP(L2),SAP ABAP(L3),SAP BTP RAP(L4),WEGA for AI(L0)",,,Technical Consultant SAP Programming - L1
3222,Employee3222,TEAMRBOW,19-09-2025,>180 DAYS,OFFSHORE,COIMBATORE,0Years 7Months,Developer L1,INDIA,"Active Directory(L2), Administration(L2), Analysis(L2), API Integration(L2), API(L2), Artificial Intelligence(L4), Assessments(L4), Authentication(L3), Bash(L3), Burpsuite(L2), Chatgpt(L2), Computer Science(L2), Core Java(L2), CRUD(L2), Cryptography(L4), Cybersecurity(L3), Data Definition Language(L2), Dynamic Host Configuration Protocol(L3), Effective Communication(L3), Front End(L2), Generative AI(L2), Government(L3), Hand Saw(L2), Identity and Access Management(L3), Identityiq(L2), Information Security Business Analysis(L3), Java Database Connectivity(L3), Java(L2), Kali Linux(L2), Linux(L3), Malware(L2), Management(L2), Microsoft Azure(L2), Military Skills(L2), Modeling(L3), Monitoring(L2), Multi-Factor Authentication(L3), MySQL(L2), Network Address Translation(L3), Network Configuration(L2), Networking(L2), OAuth(L2), Operating Systems(L4), Operations(L2), Packet Tracer(L2), PL-SQL, Point Clouds(L2), Postman Software(L2), PowerShell(L3), Privileged Access Management(L2), Programming(L2), Project Management(L2), Provisioning(L2), Python(L2), Qualys(L2), Reconciliation(L4), REST API(L2), RESTful Services(L2), RESTful Web Services(L2), Risk Assessment(L3), Risk Management(L3), Safes(L4), SailPoint IdentityIQ(L2), Saviynt(L2), Scripting(L3), Security Assertion Markup Language(L3), Security Incident Management(L2), Security Log Monitoring(L2), Security Tools(L2), Security(L2), Simulations(L3), Spring(L2), SQL(L2), Technical Proficiency(L2), Training(L2), UAM - User Access Management(L2), Ubuntu(L3), Unix Shell Scripting, Virtual Private Network(L3), Web Services(L4), Windows Server(L2), Wireshark(L3), Workflow(L3)","GENERATIVE AI(L1),GITHUB COPILOT(L2)","AZURE B2X SECURITY(L2),Generative AI(L1),Github Copilot(L2),MICROSOFT THREAT PROTECTION(L2),Microsoft Copilot Studio Dynamics 365(L1),Privilege Password Management CyberArk(L1),Privilege Password Management CyberArk(L2),SailPoint Identity Mgmt and Governance(L1),SailPoint Identity Mgmt and Governance(L1),SailPoint Identity Mgmt and Governance(L2),Saviynt(L1),Saviynt(L2),WEGA for AI(L0),WEGA for AI(L0),WEGA for AI(L2),WEGA for AI(L3)",,,DEVELOPER L1
3223,Employee3223,GROUP B3,14-03-2026,31-60 DAYS,OFFSHORE,BENGALURU,6Years 6Months,DevOps Lead L1,INDIA,".NET(L4), ADO.NET(L3), AKS, API Testing(L3), API(L4), Application Deployment(L5), Automation, Azure Cloud Services(L4), Azure Functions(L5), C# - Csharp-Programming(L5), Change Management(L5), Client Management(L5), Cloud-Microsoft Azure, Core Java(L4), Corporate Actions, CRM - Customer Relationship Management(L5), CSS(L4), Database Migration(L5), Database SQL Management(L4), Deployments(L5), Docker, English(L4), Generative AI(L5), Git, GitHub Actions for Infra, Hibernate(L4), HTML 5(L5), Incident Management(L5), Installation Configuration(L4), Issue Resolution(L5), IT Infrastructure(L5), IT Operations(L5), ITSM Framework(L5), Java Legacy Application Modernization(L4), Java-J2ee(L3), JavaScript(L4), Jax-RS - Java API- RESTful Web Services(L4), JS JavaScript Libraries for .NET(L3), M365 PowerShell(L3), Microservices(L4), Microsoft Azure(L5), MongoDB(L4), MS SQL(L4), MySQL(L4), Node JS(L4), Office 365 PowerShell(L4), Operations Management(L5), Performance Monitoring(L5), Performance Optimization(L5), PostgreSQL, PowerShell(L5), Problem Management(L5), React.js(L3), Retail Business(L1), Server Management(L5), Shell Scripting, Software Deployment(L4), Spring Boot(L4), Spring Data(L4), Spring(L4), SQL(L5), Storage(L5), System Monitoring(L5), Technical Support(L5), Terraform","AWS GEN AI(L1),C# - CSHARP-PROGRAMMING(L1),CRM - CUSTOMER RELATIONSHIP MANAGEMENT(L1),ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),GITHUB COPILOT(L2),HTML 5(L1),INFORMATICA POWERCENTER(L2),INFORMATICA POWERCENTER(L3),RETAIL BUSINESS(L1),SALESFORCE ADMINISTRATION(L2),SALESFORCE APP BUILDING(L2),SALESFORCE PLATFORM DEVELOPMENT(L2)","ANGULAR JS(L2),AWS Gen AI(L1),CRM - Customer Relationship Management(L1),CSharp-Programming(L1),Generative AI(L0),Generative AI(L1),Github Copilot(L2),HTML 5(L1),Informatica Powercenter(L2),Informatica Powercenter(L3),Retail Business(L1),SALESFORCE ADMINISTRATION(L2),SALESFORCE APP BUILDING(L2),SALESFORCE PLATFORM DEVELOPMENT(L2),SQL(L1),Salesforce Administration(L2),Salesforce App Building(L2),Salesforce Platform Development(L2),WEGA for AI(L0),WEGA for AI(L2),WEGA for AI(L3)",".NET,ADO.NET,JAVASCRIPT,JS JAVASCRIPT LIBRARIES FOR .NET,MS SQL,MYSQL",English,DEVOPS LEAD AZURE DEVOPS - L1
3224,Employee3224,GROUP D1,14-02-2026,16-30 DAYS,ONSITE,AMSTERDAM,25Years 2Months,Solution Architect L3,NETHERLANDS,"7 Habits of Highly Effective People(L3), Amazon Web Services (AWS)(L4), Analyst Relations and Interactions(L4), Analytical Skills(L5), App Cloud Transformation Services(L4), App-Cloud-Amazon-Aws(L4), Applied Physics(L3), App-Program Management-Cloud(L3), Banking(L2), Business Acumen(L5), CIO Advisory Services(L4), Cloud (Computing)(L4), Cloud Hybrid and Multicloud Consulting(L3), Cloud Transformation App Consulting(L4), Cloud Transformation(L4), Coaching and Mentoring(L3), Compliance(L3), Connector(L4), Consulting(L4), Data Analysis(L3), Data Engineering(L3), Data Integration(L3), Data Modeling(L3), Data Storage(L3), Digital Transformation(L4), Effective Communication(L4), Energy Transition(L3), Energy(L4), Enterprise Service Sales(L4), ETL(L3), Fluid Dynamics(L3), General Business(L3), Generative AI(L3), Industrial Energy(L4), ITIL(L3), Leadership Development(L4), Maintenance(L2), Major Clients(L4), Management Consulting(L4), Microsoft Azure(L4), Microsoft Basic(L3), Microsoft Certified: Azure Data Fundamentals(L3), Microsoft Certified: Azure Fundamentals(L3), Microsoft Fabric(L3), Minto Pyramid Principle Communication(L4), MS Azure AI ML(L4), Partner Management(L5), People Management(L4), Physics Education(L3), Pmp(L4), PRINCE2(L3), Professional Networking(L4), Program Management(L4), Project Management(L4), Sales Management Coaching(L3), Sales(L4), Solution Mindset(L5), Stakeholder Management(L4), Strategic Transformation(L4), Support(L2), Technical Expertise(L4), Testing(L3), Thought Leadership(L5), TOGAF(L2), Training(L2), Utilities(L4), Wipro Values(L3), Workflow Application(L3), Workflow(L4)","GENERATIVE AI(L1),MICROSOFT CERTIFIED: AZURE DATA FUNDAMENTALS(L1),MICROSOFT CERTIFIED: AZURE FUNDAMENTALS(L1),MS AZURE AI ML(L2),PROGRAM MANAGEMENT(L1)","AZURE DATA ENGINEERING(L3),Azure Cloud Data Platform Engineering(L1),Azure Cloud Data Platform Engineering(L2),DATA FABRIC(L4),Generative AI(L0),Generative AI(L1),MICROSOFT POWER BI(L3),MICROSOFT POWER BI(L3),MS AZURE AI ML(L2),MS Azure AI ML(L2),Program Management(L1),Program Management(L1),Program Management(L1),SITE RELIABILITY ENGINEERING (SRE)(L3),WEGA for AI(L0),WEGA for AI(L2),Wipro Values(L2)",,,SOLUTION ARCHITECT L3
3225,Employee3225,TEAMRBOW,30-09-2025,>180 DAYS,OFFSHORE,BENGALURU,0Years 6Months,Developer L1,INDIA,"Artificial Intelligence(L1), BTP Integration Suite(L1), Business Communication(L1), Communication(L1), Core Java(L1), Data Analysis(L1), Data Cleaning(L1), Data Science(L1), Data Structures and Algorithms(L1), Eda(L1), Machine Learning(L1), Matplotlib(L1), Numpy(L1), OpenCV(L1), Pandas(L1), Postman(L1), Python(L1), Rapid API(L1), SAP BTP(L1), SAP Integration(L1), scikit-learn(L1), Soap UI(L1), Software Development(L1), SQL(L1), WinSCP(L1)","AWS GEN AI(L1),ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),GITHUB COPILOT(L2),ORACLE INTEGRATION CLOUD SERVICE(L1),SAP PI - PROCESS INTEGRATION(L1)","AMAZON WEB SERVICES - AWS(L1),AWS Gen AI(L1),GITHUB COPILOT(L3),Generative AI(L1),Github Copilot(L2),NA(NA),NA(NA),NA(NA),Oracle Integration Cloud Service(L1),SAP BTP BUILD(L1),SAP BTP CAP(L1),SAP BTP INTEGRATION SUITE(L1),SAP BTP INTEGRATION SUITE(L1),SAP BTP INTEGRATION SUITE(L1),SAP BTP Integration Suite(L3),SAP PI - Process Integration(L1),WEGA for AI(L3)",,,DEVELOPER L1
3226,Employee3226,TEAMRBOW,19-12-2025,121-180 DAYS,OFFSHORE,GREATER NOIDA,0Years 4Months,Developer L1,INDIA,"API Gateway(L2), CSS3(L2), Git/GitHub Version Control(L2), Hibernate(L2), HTML 5(L2), Java(L2), Java/J2ee(L2), JavaScript ES6(L2), JDBC - Java Database Connectivity(L2), JSP - Java Server Pages(L2), Microservices(L2), Python(L1), RESTful API(L2), Spring Boot(L2), Spring Cloud(L2), Spring Data JPA(L2), Spring Security(L2), SQL(L2)","ADOBE AEM(L1),GENERATIVE AI(L1),MACHINE LEARNING(L1)","AMAZON WEB SERVICES - AWS(L1),Adobe AEM(L1),Adobe AEM(L1),Generative AI(L1),Machine Learning(L1),NA(NA),NA(NA),NA(NA),NA(NA),WEGA for AI(L0),WEGA for AI(L3)",,,DEVELOPER L1
3227,Employee3227,TEAMRBOW,26-03-2026,31-60 DAYS,OFFSHORE,MUMBAI,0Years 1Months,Developer L1,INDIA,"Analytics(L2), Apache(L2), API(L2), Artificial Intelligence(L2), Assistant(L2), Automation(L2), C(L2), Chatbots(L2), Core Java(L2), Cyber Security(L2), Data Analytics(L2), Database(L2), E-commerce(L2), End to End Delivery(L2), Extensive Testing(L2), Firewalls(L2), HackerRank(L2), Hand Saw(L2), Language(L2), Linux(L2), Machine Learning(L2), Management(L2), Mathematics(L2), Metasploit(L2), Mobile Application Platform(L2), Monitoring(L2), MySQL(L3), Natural Language Processing(L2), Nmap(L2), Object-Oriented Programming(L2), Palo Alto Firewalls(L2), Payments Integration(L2), Planning(L2), Problem Solving(L2), Programming(L2), Python(L2), QA(L2), QRadar(L2), SIEM Tools(L2), Solutioning(L2), Speech Recognition(L2), SQL Database(L2), SQL(L2), Technical Proficiency(L2), Technology (Alight It)(L2), Testing(L2), Threat Analysis(L2), Voice Assistants(L2), Vulnerability Management(L2), Wazuh(L2), Web Skills(L2), Wire SHARK(L2)",,"Effective Presentation(L1),WEGA for AI(L0)",,,
